Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
17533,22,65,22,14,3,26,43,18,REABASTECER
18412,11,56,16,14,43,20,37,15,NORMAL
19600,86,51,8,11,41,20,35,12,NORMAL
20303,76,47,65,11,37,14,32,10,NORMAL
17085,68,42,60,6,35,13,26,5,REABASTECER
18324,57,35,55,43,31,9,22,43,NORMAL
17113,45,33,50,39,25,5,16,39,REABASTECER
19756,34,28,41,39,22,43,13,34,NORMAL
17160,22,24,31,35,18,40,8,29,NORMAL
18058,9,16,26,33,13,38,4,24,REABASTECER
19887,86,12,22,29,8,37,43,20,REABASTECER
18556,75,10,12,25,2,35,39,14,REABASTECER
17508,67,0,3,21,43,34,33,9,REABASTECER
19104,59,65,65,20,38,34,27,3,NORMAL
18390,50,63,56,18,32,34,25,43,NORMAL
20813,39,59,48,12,30,30,20,37,NORMAL
19092,26,50,44,7,27,30,14,34,REABASTECER
17319,15,45,39,3,25,25,8,29,REABASTECER
19550,7,35,31,43,21,20,2,27,REABASTECER
17512,86,27,21,39,17,19,43,21,NORMAL
17677,78,17,11,35,11,17,38,19,REABASTECER
19104,65,12,7,34,9,16,32,14,REABASTECER
20933,57,3,65,28,4,13,30,10,REABASTECER
18628,47,65,55,24,43,12,25,4,NORMAL
18784,37,62,46,21,40,9,21,43,NORMAL
18619,28,60,37,15,36,9,16,39,NORMAL
17226,16,52,30,10,31,4,12,33,NORMAL
20438,8,43,25,10,29,43,9,29,NORMAL
18049,86,39,19,4,24,41,3,24,REABASTECER
20137,78,33,9,43,20,36,43,21,NORMAL
19250,67,27,65,43,17,33,37,18,NORMAL
20205,57,21,61,43,12,33,31,16,NORMAL
18141,45,17,57,38,9,29,27,10,NORMAL
19471,34,15,53,32,5,29,21,6,REABASTECER
18748,23,13,45,31,43,25,15,43,NORMAL
19002,10,6,39,26,39,24,13,38,REABASTECER
19218,86,65,35,25,35,22,7,36,NORMAL
17261,74,56,25,25,33,21,3,30,REABASTECER
20697,63,50,16,24,30,15,43,24,NORMAL
17359,54,40,11,20,28,12,40,21,NORMAL
17176,47,38,2,20,23,6,36,18,NORMAL
17132,35,32,65,18,20,43,34,12,NORMAL
20831,28,25,59,18,14,40,28,8,NORMAL
17088,21,18,52,14,9,36,24,5,REABASTECER
20088,8,14,43,9,6,32,21,43,REABASTECER
20165,86,5,34,5,43,30,18,40,REABASTECER
17042,79,65,28,43,37,29,12,34,NORMAL
18476,70,61,20,38,35,26,10,30,NORMAL
17278,62,51,16,36,33,26,6,28,REABASTECER
18729,49,41,11,34,30,26,43,22,NORMAL
20692,37,32,1,33,24,25,38,18,NORMAL
19635,29,27,65,32,22,23,34,12,NORMAL
17329,22,18,61,27,19,19,29,6,REABASTECER
20208,11,10,56,25,17,14,25,43,NORMAL
17420,86,7,50,19,13,13,22,41,NORMAL
17015,78,65,43,13,11,8,20,39,REABASTECER
20163,71,61,37,12,6,7,15,36,REABASTECER
20158,58,59,28,10,43,6,12,33,NORMAL
20434,48,50,19,7,38,43,10,29,REABASTECER
18822,40,45,13,3,35,42,7,26,REABASTECER
18530,27,42,5,43,29,36,3,23,REABASTECER
20111,16,35,65,42,23,35,43,21,NORMAL
17011,8,27,58,37,17,35,40,17,NORMAL
17663,86,17,51,35,15,34,38,14,NORMAL
20111,75,7,43,30,13,33,35,8,NORMAL
17572,68,65,36,26,11,32,32,4,NORMAL
17319,55,55,27,25,6,28,29,43,REABASTECER
20785,48,49,21,23,43,28,23,38,NORMAL
19776,37,46,16,21,38,22,21,33,NORMAL
17943,25,42,12,19,33,18,15,31,NORMAL
19451,13,35,7,13,27,17,9,29,NORMAL
18312,6,32,65,12,24,13,4,26,REABASTECER
20466,86,28,57,12,22,8,43,24,NORMAL
20233,76,20,51,9,17,8,41,22,REABASTECER
18158,65,10,47,7,12,5,37,16,REABASTECER
18265,55,7,38,6,6,43,35,11,REABASTECER
20016,42,65,32,43,43,39,30,8,NORMAL
19850,33,63,24,41,40,33,24,6,NORMAL
18797,21,59,14,41,36,27,21,43,NORMAL
20739,14,50,7,40,33,24,17,37,NORMAL
17106,4,42,65,34,31,19,14,35,REABASTECER
17407,86,33,57,32,28,13,8,32,NORMAL
20012,74,24,53,26,25,13,5,30,REABASTECER
17832,63,21,45,23,21,13,43,25,NORMAL
17624,55,12,35,20,17,7,37,23,NORMAL
17547,45,8,27,16,12,7,33,19,REABASTECER
20436,35,65,18,16,9,5,31,14,NORMAL
19834,24,57,9,14,5,43,26,11,REABASTECER
18182,14,51,65,12,43,43,20,8,REABASTECER
18012,4,43,59,6,40,43,15,6,REABASTECER
17704,86,37,50,43,38,41,12,43,NORMAL
19800,74,27,41,42,34,38,7,38,NORMAL
18843,61,22,32,42,32,32,1,34,REABASTECER
20235,52,19,27,39,29,31,43,31,NORMAL
17676,41,10,20,35,26,31,39,28,NORMAL
20827,31,8,10,32,23,30,34,23,NORMAL
17593,19,65,2,30,17,30,29,19,NORMAL
17305,12,63,65,29,14,27,27,15,NORMAL
18688,86,55,60,23,8,27,22,10,REABASTECER
18687,79,53,52,17,5,22,20,6,REABASTECER
17646,72,49,48,13,43,21,16,43,NORMAL
20679,64,46,39,7,37,16,12,38,REABASTECER
19502,52,44,34,6,34,11,6,33,REABASTECER
16942,44,37,30,43,30,5,43,28,NORMAL
17243,35,27,22,39,28,43,41,26,NORMAL
20422,28,24,15,35,22,40,38,24,NORMAL
19533,15,20,9,29,18,40,32,20,NORMAL
20935,7,13,65,29,13,37,30,16,NORMAL
20874,86,10,60,26,9,34,27,11,REABASTECER
18124,77,7,50,26,5,31,24,8,NORMAL
17998,65,65,40,25,43,30,18,6,NORMAL
17749,54,62,30,20,37,25,16,43,NORMAL
19235,44,58,22,14,34,23,10,37,NORMAL
19601,33,56,18,10,32,18,8,32,NORMAL
18578,25,47,12,5,29,18,3,29,REABASTECER
17089,14,43,4,43,23,12,43,23,NORMAL
19084,3,41,65,39,19,12,40,17,REABASTECER
19231,86,39,56,37,16,9,36,15,NORMAL
19074,78,31,47,32,11,9,34,12,REABASTECER
17308,68,24,40,32,6,8,28,9,REABASTECER
19429,60,20,33,32,43,7,26,3,NORMAL
18635,47,18,23,31,41,3,22,43,REABASTECER
20922,40,8,14,30,37,43,17,38,NORMAL
20341,31,65,10,29,33,39,11,33,NORMAL
17640,22,55,1,27,31,37,5,31,REABASTECER
19183,15,49,65,25,26,32,43,28,NORMAL
20045,4,39,58,23,20,27,40,22,REABASTECER
19311,86,36,50,22,16,26,37,20,NORMAL
18231,74,32,45,17,13,24,34,15,NORMAL
19287,63,30,40,15,9,24,32,10,NORMAL
19836,56,21,35,10,4,23,30,5,REABASTECER
19777,45,15,25,10,43,23,24,43,NORMAL
17130,38,10,18,7,41,23,21,37,REABASTECER
20467,29,6,10,2,37,23,19,32,REABASTECER
18529,22,65,0,43,31,20,14,29,NORMAL
20653,12,55,65,41,25,16,12,27,NORMAL
19101,86,49,59,35,21,11,7,23,NORMAL
18680,78,41,50,35,15,7,5,20,REABASTECER
18058,70,32,43,33,12,6,43,14,NORMAL
20562,57,29,35,28,8,43,40,10,REABASTECER
17595,45,19,31,24,2,40,37,8,REABASTECER
18359,34,17,25,18,43,38,35,4,REABASTECER
19472,27,14,18,12,39,36,31,43,NORMAL
19818,18,4,9,10,33,31,27,37,REABASTECER
18546,6,65,65,6,28,31,21,32,REABASTECER
20636,86,62,61,43,24,30,16,30,NORMAL
19027,73,59,52,38,22,26,10,26,NORMAL
20900,63,57,42,38,20,23,7,21,NORMAL
18485,54,48,33,35,18,21,1,17,REABASTECER
19879,47,41,24,29,16,15,43,12,NORMAL
19079,39,37,18,29,10,9,39,10,REABASTECER
18811,31,29,14,28,8,5,33,7,REABASTECER
18444,24,26,6,26,6,43,30,5,REABASTECER
17820,15,17,65,24,43,38,28,43,NORMAL
19311,5,14,59,24,39,34,25,38,REABASTECER
17588,86,5,53,18,36,33,23,33,REABASTECER
20199,76,65,48,12,32,28,18,27,NORMAL
18217,63,63,44,6,27,24,13,25,REABASTECER
20279,56,56,34,43,25,22,11,19,NORMAL
17168,47,48,25,43,22,22,8,17,NORMAL
18157,39,44,19,38,18,21,3,11,REABASTECER
18702,30,41,13,38,12,21,43,8,REABASTECER
18727,17,32,6,36,8,19,39,5,REABASTECER
19487,5,26,65,32,6,19,36,43,REABASTECER
17776,86,19,61,31,43,15,30,38,NORMAL
18378,77,11,53,30,38,15,27,36,NORMAL
19145,69,6,48,25,35,10,21,34,REABASTECER
19557,62,65,39,24,29,6,19,29,NORMAL
19225,49,59,32,20,24,43,15,24,NORMAL
18774,38,53,28,20,21,41,12,21,NORMAL
18790,31,43,23,14,15,40,8,19,NORMAL
17129,24,41,18,11,13,39,6,15,REABASTECER
18723,13,37,12,11,10,39,43,9,REABASTECER
19147,1,34,4,10,4,33,39,7,REABASTECER
20249,86,27,65,10,43,32,36,5,NORMAL
19278,77,25,58,7,37,27,32,43,REABASTECER
18543,64,15,51,1,32,26,26,37,REABASTECER
18688,53,8,45,43,28,23,24,34,NORMAL
20918,41,65,41,40,24,22,18,31,NORMAL
18800,29,62,32,40,22,22,14,29,NORMAL
17033,21,54,27,40,17,16,8,27,NORMAL
19519,8,51,21,37,13,10,2,22,REABASTECER
18588,86,41,16,36,9,6,43,19,REABASTECER
19129,77,39,8,36,3,43,40,16,REABASTECER
19203,64,34,65,33,43,40,35,12,NORMAL
19473,57,25,57,32,40,40,31,6,NORMAL
19218,44,23,49,31,37,40,28,43,NORMAL
19432,37,17,39,25,32,39,26,40,NORMAL
18965,28,14,30,19,28,36,21,35,NORMAL
16955,21,10,20,14,25,35,19,30,NORMAL
17123,10,1,10,9,22,31,17,25,REABASTECER
18999,86,65,4,6,17,27,15,23,REABASTECER
18556,75,56,65,43,14,24,9,21,NORMAL
19119,64,53,56,41,11,23,4,18,REABASTECER
19228,51,49,48,38,7,23,43,15,REABASTECER
17730,40,47,40,38,1,17,39,13,REABASTECER
19541,32,44,30,35,43,16,35,9,REABASTECER
18911,22,40,22,31,37,12,30,4,REABASTECER
19416,10,37,14,30,34,12,26,43,NORMAL
17698,86,28,7,25,32,9,23,41,NORMAL
19432,77,25,65,23,27,6,18,38,NORMAL
20935,67,20,56,20,21,43,13,33,NORMAL
20275,54,13,51,20,19,37,8,29,NORMAL
17677,43,4,45,18,13,33,3,26,REABASTECER
17211,30,65,35,17,8,30,43,20,REABASTECER
18657,21,63,25,11,3,29,40,16,REABASTECER
19565,11,53,21,11,43,29,37,10,NORMAL
18356,86,49,16,5,37,25,35,5,REABASTECER
17398,77,47,10,43,32,22,31,43,NORMAL
18892,69,43,2,41,29,20,27,39,NORMAL
20213,58,35,65,39,24,17,21,36,NORMAL
20846,47,27,56,36,22,11,15,30,NORMAL
19412,40,18,46,36,20,7,10,24,NORMAL
17878,33,10,42,30,15,2,6,18,REABASTECER
19842,24,5,34,28,11,43,43,14,REABASTECER
20830,12,65,25,27,9,38,38,12,REABASTECER
19577,86,60,18,21,3,34,36,10,REABASTECER
20697,78,54,13,15,43,32,34,7,NORMAL
19410,69,51,3,10,38,26,29,4,NORMAL
19409,61,46,65,6,32,24,26,43,REABASTECER
18059,48,42,58,43,29,19,20,40,NORMAL
20420,37,38,49,42,25,16,18,38,NORMAL
19125,29,29,44,37,22,15,14,35,NORMAL
18652,19,24,40,32,19,10,11,30,NORMAL
20414,12,16,36,30,16,8,9,27,NORMAL
17287,86,11,30,30,14,6,4,25,REABASTECER
17530,78,3,24,25,12,43,43,21,REABASTECER
19807,69,65,15,22,6,38,38,16,REABASTECER
18201,59,57,10,18,43,37,36,13,NORMAL
20912,50,54,0,16,38,37,32,8,NORMAL
17380,41,47,65,11,32,36,30,6,NORMAL
18927,34,38,59,7,30,31,26,43,REABASTECER
19869,23,35,49,5,27,29,20,37,REABASTECER
18001,10,32,39,43,22,26,14,31,NORMAL
20525,86,30,30,43,16,20,9,25,NORMAL
18710,74,21,20,43,11,18,5,22,REABASTECER
20173,67,18,13,43,6,17,43,18,REABASTECER
18924,54,15,4,42,43,16,38,14,NORMAL
18464,41,11,65,37,41,12,36,9,NORMAL
18178,29,3,56,36,35,6,33,7,REABASTECER
17905,17,65,49,30,29,43,31,2,NORMAL
18851,9,60,43,25,26,40,28,43,NORMAL
17036,86,53,36,21,24,35,23,37,NORMAL
20490,76,51,29,21,19,34,17,33,NORMAL
20164,66,46,21,19,13,32,12,31,NORMAL
20192,57,44,14,13,8,30,7,25,NORMAL
18864,45,35,9,7,4,30,1,20,NORMAL
20002,34,27,65,7,43,24,43,17,REABASTECER
19621,25,20,55,7,41,21,37,15,REABASTECER
19288,15,10,47,7,36,17,31,12,REABASTECER
17170,7,3,37,1,32,13,29,7,REABASTECER
20288,86,65,33,43,27,11,24,3,NORMAL
17757,73,56,23,41,23,5,19,43,NORMAL
20689,65,53,15,41,19,43,16,38,NORMAL
19129,52,47,6,36,15,37,10,34,NORMAL
19605,39,43,65,33,10,32,8,28,REABASTECER
17829,28,36,58,28,4,30,4,25,REABASTECER
19940,21,34,48,23,43,26,43,21,NORMAL
20618,11,26,38,17,37,22,39,17,NORMAL
20271,86,21,32,15,34,16,33,13,NORMAL
16962,78,19,25,12,29,10,27,9,NORMAL
19209,65,13,20,12,27,9,22,3,NORMAL
19085,58,4,15,8,25,3,17,43,REABASTECER
20230,47,65,7,2,19,43,12,37,REABASTECER
19846,36,58,65,43,17,40,10,34,NORMAL
18325,28,48,60,43,14,40,6,31,REABASTECER
20564,16,44,56,40,10,38,43,28,REABASTECER
17059,4,37,51,36,5,34,41,24,REABASTECER
17011,86,29,42,35,43,33,38,18,NORMAL
17829,73,27,34,34,37,30,33,15,NORMAL
17812,62,25,29,34,34,27,31,9,NORMAL
19404,55,16,22,31,30,25,25,3,NORMAL
19026,46,13,14,28,24,23,19,43,NORMAL
19412,39,9,4,22,20,22,16,37,NORMAL
19711,32,65,65,16,17,16,11,32,NORMAL
20196,23,61,55,11,15,10,9,28,NORMAL
17911,11,57,46,5,12,4,3,26,REABASTECER
19557,86,49,40,43,9,43,43,24,REABASTECER
20547,78,44,31,43,4,40,41,20,REABASTECER
18705,66,34,27,42,43,36,37,14,NORMAL
17744,55,32,18,40,38,34,35,9,NORMAL
19413,43,26,12,40,36,32,31,5,NORMAL
19351,31,18,2,37,34,26,26,43,NORMAL
17661,23,11,65,32,31,20,24,40,NORMAL
19612,15,2,57,29,29,20,22,36,REABASTECER
18804,8,65,47,26,25,17,16,31,NORMAL
17402,86,58,43,25,19,16,14,25,NORMAL
20881,78,48,36,24,13,16,10,20,NORMAL
19300,70,46,29,22,11,10,6,17,REABASTECER
20669,61,41,20,20,9,7,43,15,REABASTECER
19649,50,33,10,20,7,6,38,11,NORMAL
19919,40,23,4,18,5,43,34,8,REABASTECER
17343,33,14,65,14,43,42,30,4,REABASTECER
20472,25,10,59,13,40,38,27,43,NORMAL
17444,14,0,54,12,35,38,21,38,REABASTECER
18438,6,65,46,8,30,32,16,35,REABASTECER
17784,86,62,41,8,28,32,14,32,REABASTECER
20020,78,54,35,5,26,26,10,30,REABASTECER
19051,66,47,31,43,21,25,8,27,NORMAL
19648,55,43,26,39,18,24,4,25,REABASTECER
17869,44,35,19,33,14,21,43,23,NORMAL
17012,32,33,13,27,9,19,41,18,REABASTECER
17847,23,31,7,27,6,14,38,15,REABASTECER
19214,12,28,65,26,43,13,35,11,NORMAL
20152,86,19,58,20,39,9,32,7,NORMAL
17520,73,11,52,14,36,6,27,3,NORMAL
18051,66,9,48,13,34,43,24,43,NORMAL
20841,53,65,38,13,31,42,18,40,NORMAL
20752,42,62,28,11,27,39,16,38,NORMAL
18546,31,55,22,8,24,34,14,36,REABASTECER
18929,21,52,13,4,22,31,10,30,REABASTECER
19917,8,43,9,43,17,30,7,25,NORMAL
19251,86,35,65,40,15,25,4,20,REABASTECER
18073,75,26,55,38,11,20,43,18,REABASTECER
18057,62,18,49,35,6,19,38,12,REABASTECER
19131,49,15,43,34,43,13,33,10,NORMAL
19989,37,10,35,33,39,11,29,6,REABASTECER
19715,27,6,27,30,33,7,25,43,REABASTECER
20075,16,65,20,29,30,6,20,37,NORMAL
20064,6,55,11,26,26,43,16,32,NORMAL
18780,86,51,6,20,20,40,14,27,NORMAL
20459,79,47,65,16,18,39,10,23,NORMAL
17542,66,42,61,13,15,34,8,20,NORMAL
18558,53,40,55,13,9,33,6,14,REABASTECER
19163,42,36,51,10,6,32,43,11,REABASTECER
19406,35,29,46,6,43,29,38,9,REABASTECER
18977,26,21,37,43,41,26,34,7,NORMAL
19522,15,12,33,40,39,23,28,1,REABASTECER
17300,4,6,23,37,35,19,26,43,REABASTECER
20152,86,65,16,31,33,18,22,41,NORMAL
20913,79,60,11,28,28,16,19,39,NORMAL
19769,72,56,4,25,26,14,15,33,NORMAL
20177,65,47,65,21,24,8,11,30,NORMAL
17727,57,37,59,16,21,7,6,25,REABASTECER
17906,44,34,55,15,17,6,43,22,NORMAL
18022,37,32,45,11,12,43,37,20,REABASTECER
20558,29,30,39,8,8,42,31,17,REABASTECER
20418,22,27,35,3,4,41,25,15,REABASTECER
17913,15,17,26,43,43,41,21,11,NORMAL
17660,4,13,16,38,38,41,17,6,REABASTECER
18846,86,3,9,38,36,36,11,43,REABASTECER
18285,75,65,65,33,30,33,5,40,REABASTECER
19545,62,57,61,28,24,28,43,34,NORMAL
18470,51,50,51,25,21,27,39,32,NORMAL
18210,41,42,44,20,19,22,36,27,NORMAL
17068,28,38,36,18,15,21,30,21,NORMAL
19262,15,34,31,12,10,16,26,18,NORMAL
20559,5,28,21,10,7,12,23,16,REABASTECER
20881,86,22,17,7,2,7,20,10,REABASTECER
17036,79,19,13,2,43,4,18,7,REABASTECER
18958,69,10,8,43,39,43,16,4,REABASTECER
18609,60,5,65,39,37,38,14,43,REABASTECER
20011,49,65,60,37,31,38,12,37,NORMAL
17761,41,62,54,37,26,34,9,35,NORMAL
19761,33,53,45,33,20,31,4,31,REABASTECER
19014,26,49,39,27,17,27,43,26,NORMAL
20638,14,41,32,25,11,22,38,24,REABASTECER
17630,7,37,24,21,8,17,34,20,NORMAL
17963,86,28,16,16,3,11,29,17,REABASTECER
18256,76,21,8,16,43,8,26,12,NORMAL
20520,64,14,65,13,38,2,22,7,NORMAL
18758,54,8,59,9,33,43,20,2,REABASTECER
20272,41,65,55,8,27,39,18,43,REABASTECER
18653,33,56,51,3,25,37,14,41,REABASTECER
19240,25,51,45,43,20,32,9,35,NORMAL
17858,14,48,39,43,15,28,4,33,REABASTECER
17594,7,45,29,40,9,23,43,30,REABASTECER
19430,86,36,22,36,7,22,37,27,REABASTECER
18368,73,27,13,36,4,20,34,23,REABASTECER
16959,62,19,8,31,43,14,29,20,NORMAL
20493,49,15,65,27,38,13,25,17,NORMAL
20120,38,6,55,25,33,11,21,15,REABASTECER
18145,27,65,45,24,30,6,19,11,NORMAL
20023,16,56,36,18,26,43,14,7,NORMAL
19536,9,47,26,18,21,37,10,5,REABASTECER
20674,86,44,20,15,17,31,4,43,REABASTECER
18905,73,37,11,15,13,30,43,41,NORMAL
20572,63,28,3,15,11,24,39,35,REABASTECER
17988,52,22,65,15,5,23,33,33,REABASTECER
17907,39,17,58,11,43,23,27,28,NORMAL
17442,29,7,48,11,38,20,22,26,NORMAL
20920,22,65,39,8,33,18,19,24,REABASTECER
19840,14,61,32,6,31,16,14,19,REABASTECER
19781,3,54,26,43,26,10,10,16,REABASTECER
18021,86,46,21,37,24,9,5,14,REABASTECER
20761,74,37,13,36,22,4,43,12,REABASTECER
19692,66,29,3,30,17,43,37,10,NORMAL
17235,58,19,65,27,14,39,31,8,NORMAL
20735,47,16,60,27,9,34,28,6,NORMAL
20223,39,9,56,26,4,28,24,43,REABASTECER
17253,31,65,50,26,43,28,20,37,NORMAL
24780,86,65,65,43,43,43,43,43,NORMAL
25203,73,58,61,42,40,40,40,38,NORMAL
24875,62,53,54,38,37,37,38,35,NORMAL
26444,52,50,50,33,33,33,32,32,NORMAL
27784,44,45,46,32,30,29,30,29,NORMAL
25405,34,43,37,30,26,27,24,24,NORMAL
24492,26,34,28,26,22,21,20,18,NORMAL
25533,14,27,18,20,19,19,17,16,NORMAL
24821,6,17,13,15,15,13,15,12,REABASTECER
26940,86,8,5,14,9,11,9,8,REABASTECER
25680,75,65,65,13,7,5,6,2,REABASTECER
27295,68,61,58,13,4,43,43,43,REABASTECER
25342,60,55,48,7,43,42,41,39,REABASTECER
26565,50,49,41,7,39,37,39,36,REABASTECER
24012,38,47,33,1,36,31,33,33,REABASTECER
25921,31,42,28,43,32,25,30,29,NORMAL
27561,21,35,24,43,27,23,25,26,NORMAL
27262,11,27,18,39,21,22,21,20,NORMAL
24792,86,22,9,37,15,19,18,18,NORMAL
25665,77,17,65,34,11,17,13,15,REABASTECER
27237,66,14,55,33,7,13,11,9,REABASTECER
26424,56,6,48,28,2,12,7,5,REABASTECER
26355,44,65,43,28,43,7,1,43,REABASTECER
24173,32,55,37,22,40,6,43,38,NORMAL
26355,25,50,29,18,38,43,37,32,NORMAL
25273,18,42,25,16,36,37,33,26,NORMAL
27728,5,37,19,16,31,33,30,21,REABASTECER
24944,86,28,9,10,25,29,24,19,NORMAL
27267,74,18,65,6,22,23,20,14,REABASTECER
24598,63,12,60,43,16,19,18,10,NORMAL
24649,52,9,54,38,12,16,16,6,REABASTECER
26280,45,65,47,32,8,11,11,43,REABASTECER
26834,36,56,43,26,4,5,7,40,REABASTECER
27520,23,53,33,20,43,43,1,38,REABASTECER
27260,10,46,29,17,38,37,43,33,NORMAL
24812,86,44,19,17,36,32,40,31,NORMAL
27018,76,41,14,17,31,32,34,26,NORMAL
26327,65,35,5,16,26,29,29,24,NORMAL
25692,55,32,65,12,21,27,26,22,NORMAL
27734,42,30,60,10,18,23,20,20,NORMAL
27717,30,27,56,5,14,20,14,15,REABASTECER
23914,23,23,51,43,10,18,9,12,REABASTECER
25578,14,15,47,38,7,18,5,10,REABASTECER
25688,6,10,38,33,5,18,43,8,REABASTECER
23882,86,2,28,33,43,15,41,3,REABASTECER
24248,74,65,22,30,38,11,39,43,NORMAL
27406,64,59,17,26,32,11,34,37,NORMAL
24973,52,56,7,20,30,7,28,34,NORMAL
24788,45,52,65,15,24,6,23,28,NORMAL
26882,37,50,56,13,18,43,20,24,NORMAL
26856,30,41,51,12,14,40,14,22,NORMAL
27125,17,39,46,6,11,40,12,16,REABASTECER
23978,5,31,42,43,5,37,8,12,REABASTECER
23947,86,28,33,43,43,37,4,8,REABASTECER
27033,79,24,26,43,37,35,43,5,NORMAL
25514,71,22,17,37,34,33,41,43,NORMAL
25654,61,12,11,31,28,31,36,37,NORMAL
25146,48,10,7,31,23,31,31,31,NORMAL
24965,40,6,65,31,20,31,29,26,REABASTECER
26677,28,65,57,30,16,27,26,20,NORMAL
24296,16,55,48,26,11,25,21,14,REABASTECER
24302,8,51,41,26,8,24,15,12,REABASTECER
27768,86,42,37,24,3,23,12,9,REABASTECER
25375,74,33,28,18,43,23,6,7,REABASTECER
25740,67,25,24,15,39,18,43,3,NORMAL
26020,60,21,19,14,33,14,41,43,NORMAL
27568,52,15,11,9,31,9,39,37,REABASTECER
26171,39,12,7,5,29,5,35,35,REABASTECER
26394,32,6,65,43,26,43,29,31,REABASTECER
24921,23,65,58,40,20,43,23,27,NORMAL
26884,14,57,49,35,16,43,20,23,NORMAL
27014,1,51,42,35,14,37,15,19,REABASTECER
24217,86,48,35,35,8,33,11,17,REABASTECER
24518,79,41,27,29,6,30,6,14,REABASTECER
25652,70,35,18,26,43,26,43,11,NORMAL
27247,58,27,8,25,38,23,41,6,NORMAL
24443,50,18,65,25,36,17,37,43,NORMAL
24568,41,10,59,25,30,13,35,37,NORMAL
26777,29,2,50,19,28,7,30,33,REABASTECER
27619,16,65,42,14,23,7,27,29,NORMAL
26847,4,56,34,9,21,2,23,27,REABASTECER
27599,86,54,26,7,19,43,19,23,REABASTECER
25589,73,49,20,5,16,43,15,18,REABASTECER
23895,63,45,12,43,12,39,9,13,REABASTECER
25037,54,39,4,37,7,33,4,8,REABASTECER
25644,47,32,65,31,4,32,43,6,REABASTECER
27627,34,27,56,26,43,32,41,43,NORMAL
24811,27,22,49,22,40,32,38,41,NORMAL
26309,16,20,42,22,34,26,34,35,NORMAL
27804,8,17,37,21,29,25,31,32,NORMAL
25589,86,11,32,18,24,19,26,27,NORMAL
26711,79,6,23,17,22,16,21,22,REABASTECER
25261,72,65,13,12,16,13,15,19,NORMAL
27428,61,56,6,12,12,7,10,16,REABASTECER
25791,53,52,65,7,7,6,7,13,REABASTECER
25631,41,49,61,3,4,43,2,11,REABASTECER
24432,33,41,54,43,43,37,43,7,REABASTECER
27483,23,33,48,39,37,35,38,1,REABASTECER
